rank,freq,word,풀이,품사
1,97499,이다,,지
2,50558,것01,,의
3,42900,하다01,,동
4,39290,있다01,,보
5,37028,있다01,,형
6,24583,되다01,어른이 ～,동
7,22484,수02,방법,의
8,21415,나03,자아,대
9,20880,하다01,,보
10,19195,없다01,,형
11,19039,그01,삼인칭,관
12,18251,않다,,보
13,14058,그01,삼인칭,대
14,13736,거01,것,의
15,13594,사람,,명
16,12582,보다01,,동
17,12296,이05,～ 사과,관
18,12278,아니다,,지
19,11721,등05,等,의
20,11694,지다04,느껴～,보
21,11339,같다,,형
22,11213,우리03,,대
23,11007,때01,시간,명
24,10696,년02,年,의
25,9869,대하다02,對-,동
26,9417,주다01,,보
27,9022,한01,,관
28,8941,보다01,,보
29,8396,말01,～과 글,명
30,7804,이05,,대
31,7759,일01,～을 하다,명
32,7747,가다01,,동
33,7685,위하다01,爲-,동
34,7554,때문,,의
35,6934,그렇다,,형
36,6738,말하다,,동
37,6449,그러나,,접
38,6433,알다,,동
39,6126,오다01,,동
40,5699,또,,접
41,5577,그런01,,관
42,5367,문제06,問題,명
43,5342,많다,,형
44,5231,더01,,부
45,5226,일07,日,의
46,5163,그리고,,접
47,5025,사회07,社會,명
48,5012,안02,아니,부
49,5006,못하다,,보
50,4999,그것,,대
51,4966,좋다01,,형
52,4889,받다01,선물을 ～,동
53,4875,따르다01,뒤를 ～,동
54,4819,크다01,,형
55,4734,나오다,,동
56,4730,저03,일인칭 대명사,대
57,4624,만들다,,동
58,4570,생각하다,,동
59,4480,속01,,명
60,4235,모르다,,동
61,4230,중04,中,의
62,4146,두01,,관
63,4109,어떤,,관
64,4099,자신01,自身,명
65,4085,씨07,氏,의
66,4043,경우03,境遇,명
67,4026,데01,,의
68,4011,집01,,명
69,3897,살다01,,동
70,3877,생각01,,명
71,3865,명03,名,의
72,3767,그녀,-女,대
73,3750,그러다,,동
74,3708,가지다,,동
75,3619,다시01,,부
76,3595,앞,,명
77,3589,이런01,,관
78,3397,오다01,,보
79,3389,여자02,女子,명
80,3373,보이다01,피동사,동
81,3370,좀02,,부
82,3321,어떻다,,형
83,3267,싶다,,보
84,3252,정도11,程度,명
85,3250,다른,,관
86,3242,너01,,대
87,3240,개10,個/ 箇 / 介,의
88,3202,통하다,通-,동
89,3198,이렇다,,형
90,3196,잘02,,부
91,3176,소리01,,명
92,3156,퍼센트,percent,의
93,3057,원01,화폐 단위,의
94,3034,들다01,볕이 ～,동
95,3004,뭐,,대
96,2983,인간01,人間,명
97,2958,시간04,時間,명
98,2947,다음01,,명
99,2926,지나다,,동
100,2923,주다01,,동
101,2907,다03,모두,부
102,2883,의하다01,依-,동
103,2861,뒤01,,명
104,2860,먹다02,밥을 ～,동
105,2840,함께,,부
106,2839,듣다01,소리를 ～,동
107,2818,자기04,自己,대
108,2816,번04,番,의
109,2796,모든,,관
110,2793,들다04,꽃을 ～,동
111,2779,그거,,대
112,2771,가장01,,부
113,2759,눈01,시력,명
113,2759,점10,點,명
114,2713,누구,,대
115,2657,곳01,,명
116,2652,정부08,政府,명
117,2649,마음01,,명
118,2648,나다01,,동
119,2631,위01,～아래,명
120,2630,가지04,한 ～,의
121,2601,세계02,世界,명
122,2600,사실04,事實,명
123,2585,전08,前,명
124,2580,버리다01,,보
125,2551,안01,안방02,명
126,2530,많이,,부
127,2527,시작하다01,始作-,동
128,2513,그래서,,접
128,2513,무엇,,대
129,2498,말다03,그만두다,보
130,2464,느끼다02,추위를 ～,동
131,2450,시대02,時代,명
132,2419,보이다02,사동사,동
133,2411,어머니01,,명
134,2401,아이01,～를 낳다,명
135,2399,왜02,,부
136,2395,얼굴01,,명
137,2381,가다01,,보
138,2368,모두01,,부
139,2358,지금03,只今,명
140,2345,어느01,,관
141,2336,후08,後,명
142,2334,놓다01,,보
143,2326,관계05,關係,명
144,2317,이러하다,,형
145,2309,경제04,經濟,명
146,2300,여기01,,대
147,2296,모습01,,명
148,2289,갖다01,가지다,동
149,2284,얘기,,명
150,2283,하나,,수
151,2280,없이,,부
152,2275,여러,,관
153,2267,및,,접
154,2250,지금03,只今,부
155,2237,남자02,男子,명
155,2237,사이01,공간,명
156,2230,아버지,,명
157,2224,새롭다,,형
158,2218,몸01,,명
159,2209,날01,날씨01,명
160,2207,바로02,,부
161,2201,예06,네03,감
162,2196,이상05,以上,명
163,2163,들어가다01,,동
163,2163,운동02,運動,명
164,2158,지역03,地域,명
165,2140,이것,,대
166,2124,그런데,,접
167,2107,뿐01,,의
168,2099,처음,,명
169,2096,문화01,文化,명
170,2094,만나다,,동
171,2081,쓰다03,약을 ～,동
172,2068,내다02,길을 ～,동
173,2064,영화01,映畵,명
174,2052,방법,方法,명
175,2050,손01,～과 발,명
176,2048,내용02,內容,명
177,2040,과정03,過程,명
178,2034,작품01,作品,명
179,2031,정치03,政治,명
180,2021,내다02,길을 ～,보
181,2020,찾다,,동
182,2019,어디01,,대
183,2018,나타나다,,동
184,2017,다르다01,,형
185,2014,생활,生活,명
186,2007,그때,,명
186,2007,돈01,,명
187,2001,물01,바닷～,명
188,2000,하나,,명
189,1997,여성01,女性,명
190,1995,몇,,관
191,1994,길01,도로,명
